id,nombre,categoria,tipo,referencia,precio,,coste,activo
469,REMOV.DE MARCAS C.3.78L  06069,81,product,0696-0009,1855.73,92.7865,1762.9435,True
470,REMOV.DE MARCAS C.3.78L  39809,81,product,0696-0006,1657.43,82.8715,1574.5585,True
471,REMOVEDOR DE ADHESIVOS   38080,81,product,0732-0001,343.55,17.1775,326.3725,True
472,REPAR.PARTES PLAST. 200ML 4240,81,product,0017-0017,453.79,22.6895,431.1005,True
473,REPARADOR DE FACIAS 200ML 5887,81,product,0017-0018,490.35,24.5175,465.8325,True
474,RESALTADOR DE BRILLO GAL.38113,81,product,0003-0016,777.56,38.878,738.682,True
475,RESANADOR DYNA. 452 METAL-FILL,81,product,0735-0017,214.27,10.7135,203.5565,True
476,RESANADOR DYNALITE 494M G.MEX,81,product,0735-0021,191.7,9.585,182.115,True
477,RESANADOR PUTTY-COTE 592,81,product,0735-0022,77.93,3.8965,74.0335,True
478,RESP.CLEAN SANDING 6”HOOK 5551,81,product,0740-0009,401.3,20.065,381.235,True
479,RESP.CLEAN SANDING 6”HOOK 5865,81,product,0740-0010,391.01,19.5505,371.4595,True
480,RESP.CONV.A HOOKIT II 6” 02329,81,product,0740-0011,89.07,4.4535,84.6165,True
481,RESP.DISCO MALLA 8”X 1”  82793,81,product,0740-0016,463.84,23.192,440.648,True
482,RESP.DURO PERF-IT PULIDORA5718,81,product,0742-0003,875.74,43.787,831.953,True
483,RESP.P/PULIDORA 3M 6.5”   E112,81,product,0742-0017,165.18,8.259,156.921,True
484,RODILLO QUITA PELUSA SCOTCH-BR,82,product,0469-0008,48.86,2.443,46.417,True
485,RUEDA REMOV.ESP.ACRIL. 4” 7498,81,product,0766-0001,539.55,26.9775,512.5725,True
486,SELLAD.URET.P/PARAB.CART. 8609,82,product,0017-0021,124.82,6.241,118.579,True
487,SELLADOR ADH.P.U.NEGRO   310ml,82,product,0017-0042,84.79,4.2395,80.5505,True
488,SELLADOR BCO.  300ML MSP  8369,81,product,0017-0023,363.61,18.1805,345.4295,True
489,SELLADOR BEIGE 300ML      8300,81,product,0017-0024,186.62,9.331,177.289,True
490,SELLADOR MARINO 3M BCO.   5200,81,product,0017-0044,272.09,13.6045,258.4855,True
491,SELLADOR MARINO 3M NEGRO  5200,81,product,0017-0053,232.71,11.6355,221.0745,True
492,SELLADOR MARINO 3M S.R. 5200FC,81,product,0017-0038,324.5,16.225,308.275,True
493,SELLADOR P/APLIC C/BROCH.08656,81,product,0017-0026,460.27,23.0135,437.2565,True
494,SELLADOR PU 550FC BLANCO 310ml,82,product,0017-0036,84.78,4.239,80.541,True
495,SELLADOR PU 550FC BLANCO 600ml,82,product,0017-0041,110.87,5.5435,105.3265,True
496,SELLADOR PU 550FC GRIS   310ml,82,product,0017-0040,84.78,4.239,80.541,True
497,SELLADOR PU 550FC GRIS   600ml,82,product,0017-0052,110.87,5.5435,105.3265,True
498,SELLADOR PU 550FC NEGRO  600ml,82,product,0017-0054,116.42,5.821,110.599,True
499,SELLADOR PU 590 PARAB. 600 ML,82,product,0017-0051,172.75,8.6375,164.1125,True
500,SELLADOR URET.BCO.  310ml.8368,82,product,0017-0037,111.98,5.599,106.381,True
501,SELLADOR URET.BEIGE 310ml.8365,81,product,0017-0045,111.98,5.599,106.381,True
502,SELLADOR URET.GRIS  310ml.8362,81,product,0017-0046,121.29,6.0645,115.2255,True
503,SELLADOR URET.NEGRO 310ml.8367,81,product,0017-0047,132.35,6.6175,125.7325,True
504,SHAMPOO P/AUTO 3M 473ML  39000,81,product,0793-0003,98.83,4.9415,93.8885,True
505,SHIELD PLATA 250 ML,82,product,0479-0001,66.83,3.3415,63.4885,True
506,TAQ.MED.HOOKIT 2 3/4”x7.5”5208,81,product,0858-0014,439.6,21.98,417.62,True
507,TELA PEGAJOSA DYNATRON A. 0823,81,product,0835-0002,14.8,0.74,14.06,True
508,TELA PEGAJOSA MULTIPROP.  3192,81,product,0835-0003,30.05,1.5025,28.5475,True
509,TOALLAS PERF-IT C/125PZS  6010,81,product,0835-0005,377.46,18.873,358.587,True
510,CINTA ANTID. ROLLO 1”x18m NGRA,82,product,0182-0015,399.38,19.969,379.411,True
511,CINTA ANTID.1”x5yd BAÑO 7640NA,82,product,0182-0028,92.03,4.6015,87.4285,True
512,CINTA ANTID.1”x5yd NGRA 7634NA,82,product,0182-0029,92.03,4.6015,87.4285,True
513,CINTA ANTID.2”x5yd BAÑO 7641NA,82,product,0182-0018,116.87,5.8435,111.0265,True
514,CINTA ANTID.2”x5yd NGRA 7635NA,82,product,0182-0009,116.87,5.8435,111.0265,True
515,CINTA CEL.3M TRANS.1”X65m.#610,82,product,0183-0008,168.49,8.4245,160.0655,True
516,CINTA ELEC.3M #23 AUTOFUSIONAB,82,product,0187-0008,374.48,18.724,355.756,True
517,CINTA ELEC.3M ECON. 19X18Mt.,82,product,0187-0007,8.62,0.431,8.189,True
518,CINTA ELEC.SCOTCH F.V.018x20m.,82,product,0187-0019,358.32,17.916,340.404,True
519,CINTA ELEC.SUPER 33 10p+Guante,82,product,0187-0025,615.33,30.7665,584.5635,True
520,CINTA ELEC.SUPER 33 18x10m.,82,product,0187-0022,38.3,1.915,36.385,True
521,CINTA ELEC.SUPER 33 18x20m.,82,product,0187-0002,61.53,3.0765,58.4535,True
522,CINTA ELEC.SUPER 33+ 18x5m.,82,product,0187-0024,6.94,0.347,6.593,True
523,CINTA ELEC.TEMFLEX 19x18 AMAR.,82,product,0187-0010,17.98,0.899,17.081,True
524,CINTA ELEC.TEMFLEX 19x18 AZUL,82,product,0187-0011,17.98,0.899,17.081,True
525,CINTA ELEC.TEMFLEX 19x18 BCA.,82,product,0187-0012,17.98,0.899,17.081,True
526,CINTA ELEC.TEMFLEX 19x18 NEGRA,82,product,0187-0001,15,0.75,14.25,True
527,CINTA ELEC.TEMFLEX 19x18 ROJA,82,product,0187-0013,17.98,0.899,17.081,True
528,CINTA ELEC.TEMFLEX 19x18 VERDE,82,product,0187-0014,17.98,0.899,17.081,True
529,CINTA ELEC.TEMFLEX#1700 19X18m,82,product,0187-0009,18.62,0.931,17.689,True
530,CINTA EMP.CANELA  48x 50  365C,82,product,0188-0010,8.96,0.448,8.512,True
531,CINTA EMP.CANELA  48x150  365C,82,product,0188-0011,26.4,1.32,25.08,True
532,CINTA EMP.TRANSP. 48x 50  365T,82,product,0188-0012,8.97,0.4485,8.5215,True
533,CINTA EMP.TRANSP. 48x150  365T,82,product,0188-0013,26.16,1.308,24.852,True
534,CINTA ESPUMA GRIS 2297E  9mm.,82,product,0189-0003,40.44,2.022,38.418,True
535,CINTA ESPUMA GRIS 2299E 13mm.,82,product,0189-0004,43.33,2.1665,41.1635,True
536,CINTA ESPUMA/PROTECT 13mmX50mt,81,product,0565-0074,763.54,38.177,725.363,True
537,CINTA MARCAJE 2”x33m.764 Amari,82,product,0185-0011,43.27,2.1635,41.1065,True
538,CINTA MARCAJE 2”x33m.764 Azul,82,product,0185-0012,43.26,2.163,41.097,True
539,CINTA MARCAJE 2”x33m.764 Blanc,82,product,0185-0013,43.26,2.163,41.097,True
540,CINTA MARCAJE 2”x33m.764 Naran,82,product,0185-0010,43.26,2.163,41.097,True
541,CINTA MARCAJE 2”x33m.764 Roja,82,product,0185-0014,43.26,2.163,41.097,True
542,CINTA MARCAJE 2”x33m.764 Verde,82,product,0185-0015,43.26,2.163,41.097,True
543,CINTA MARCAJE 2”x33m.764Ngr/Am,82,product,0185-0016,43.26,2.163,41.097,True
544,CINTA P/DUCTO SCOTCH 48mmX10mt,82,product,0186-0008,22.47,1.1235,21.3465,True
545,CINTA P/DUCTO SCOTCH 48mmX50mt,82,product,0186-0009,73.04,3.652,69.388,True
546,CINTA P/DUCTO SCOTCH 48x50 3pz,82,product,0186-0010,189.78,9.489,180.291,True
547,CINTA P/DUCTO Trasp.1.88”x20yd,82,product,0186-0012,86.27,4.3135,81.9565,True
548,CINTA SAFETY WALK AMR.051x18mt,82,product,0182-0013,1108.7,55.435,1053.265,True
549,CINTA SAFETY WALK AMR.25X18.2M,82,product,0182-0012,513.74,25.687,488.053,True
550,CINTA SAFETY WALK NGO.051x18mt,82,product,0182-0016,962.98,48.149,914.831,True
551,CINTA SAFETY WALK NGO.19X18.2M,82,product,0182-0001,364.45,18.2225,346.2275,True
552,CINTA SAFETY WALK NGO.25X18.2M,82,product,0182-0002,481.5,24.075,457.425,True
553,CINTA SAFETY WALK Resil.Med.2”,82,product,0182-0014,888.23,44.4115,843.8185,True
554,DESPACH.3M CINTA EMPAQ. HB-903,82,product,0341-0148,188.27,9.4135,178.8565,True
555,MASKING TAPE 3M #000     18X55,82,product,0565-0006,19.69,0.9845,18.7055,True
556,MASKING TAPE 3M #103 Econ12X50,82,product,0565-0079,7.65,0.3825,7.2675,True
557,MASKING TAPE 3M #103 Econ18X50,82,product,0565-0080,10.86,0.543,10.317,True
558,MASKING TAPE 3M #103 Econ24X50,82,product,0565-0081,14.25,0.7125,13.5375,True
559,MASKING TAPE 3M #103 Econ36X50,82,product,0565-0082,22,1.1,20.9,True
560,MASKING TAPE 3M #103 Econ48X50,82,product,0565-0083,29.01,1.4505,27.5595,True
561,MASKING TAPE 3M #203     12X50,82,product,0565-0008,12.04,0.602,11.438,True
562,MASKING TAPE 3M #203     18X50,82,product,0565-0009,17.72,0.886,16.834,True
563,MASKING TAPE 3M #203     24X50,82,product,0565-0010,22.25,1.1125,21.1375,True
564,MASKING TAPE 3M #203     36X50,82,product,0565-0011,36.95,1.8475,35.1025,True
565,MASKING TAPE 3M #203     48X50,82,product,0565-0012,49.01,2.4505,46.5595,True
566,MASKING TAPE 3M #203     72X50,82,product,0565-0072,72.89,3.6445,69.2455,True
567,MASKING TAPE 3M #2090     3/4”,82,product,0565-0014,28.49,1.4245,27.0655,True
568,MASKING TAPE 3M #2090   1 ”,82,product,0565-0013,40.88,2.044,38.836,True
569,MASKING TAPE 3M #2090   1 1/2”,82,product,0565-0069,54.13,2.7065,51.4235,True
570,MASKING TAPE 3M #2090   2 ”,82,product,0565-0070,75.96,3.798,72.162,True
571,MASKING TAPE 3M #2090 1” c/9pz,82,product,0565-0078,208.45,10.4225,198.0275,True
572,MASKING TAPE 3M #2207    12X50,82,product,0565-0016,8.37,0.4185,7.9515,True
573,MASKING TAPE 3M #2207    18X50,82,product,0565-0017,12.6,0.63,11.97,True
574,MASKING TAPE 3M #2207    24X50,82,product,0565-0018,17.4,0.87,16.53,True
575,MASKING TAPE 3M #2207    36X50,82,product,0565-0019,25.21,1.2605,23.9495,True
576,MASKING TAPE 3M #2207    48X50,82,product,0565-0020,33.48,1.674,31.806,True
577,MASKING TAPE 3M #2308    18X55,81,product,0565-0023,30.98,1.549,29.431,True
578,MASKING TAPE 3M #2308    36X50,81,product,0565-0025,62.69,3.1345,59.5555,True
579,MASKING TAPE 3M #2308    48X50,81,product,0565-0026,71.97,3.5985,68.3715,True
580,MASKING TAPE 3M #2308 15mmX45m,81,product,0565-0071,22.35,1.1175,21.2325,True
